epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,2442.13,0.4091,0.39454,0.92132,0.97851,0.9562,0.98991,0.98991,0.97184,0.27678,0.2122,0.74618,0.0004588,0.0004588,0.0004588
84,2469.69,0.4178,0.39931,0.92897,0.97575,0.95243,0.99051,0.99051,0.96355,0.30935,0.25564,0.74954,0.0004522,0.0004522,0.0004522
85,2497.32,0.42337,0.40725,0.93459,0.97149,0.97046,0.99282,0.98983,0.95634,0.34466,0.22155,0.76634,0.0004456,0.0004456,0.0004456
86,2525.8,0.42852,0.4053,0.93356,0.97715,0.96963,0.99103,0.99103,0.96007,0.31033,0.21979,0.7552,0.000439,0.000439,0.000439
87,2553.22,0.4082,0.40149,0.93007,0.9728,0.96655,0.99152,0.99152,0.97491,0.28722,0.23054,0.74587,0.0004324,0.0004324,0.0004324
88,2579.31,0.40957,0.37499,0.92171,0.98217,0.957,0.99133,0.99133,0.97674,0.27666,0.2043,0.7448,0.0004258,0.0004258,0.0004258
89,2605.41,0.39371,0.37759,0.922,0.95073,0.94054,0.98501,0.98274,0.9685,0.29009,0.24854,0.75026,0.0004192,0.0004192,0.0004192
90,2633.46,0.39756,0.38905,0.92434,0.97038,0.9514,0.98975,0.98975,0.97207,0.32073,0.22701,0.75688,0.0004126,0.0004126,0.0004126
91,2663.57,0.40753,0.39239,0.926,0.97986,0.94896,0.99213,0.99213,0.97309,0.30998,0.21058,0.75005,0.000406,0.000406,0.000406
92,2692.18,0.42698,0.38943,0.92777,0.97502,0.97886,0.9929,0.9929,0.97487,0.28795,0.20324,0.74945,0.0003994,0.0003994,0.0003994
93,2718.67,0.39857,0.3778,0.92316,0.98231,0.96479,0.99258,0.99036,0.96371,0.34281,0.21068,0.76333,0.0003928,0.0003928,0.0003928
94,2745.04,0.39058,0.37903,0.91919,0.96912,0.96597,0.99055,0.98813,0.97244,0.31119,0.22007,0.75345,0.0003862,0.0003862,0.0003862
95,2771.26,0.38128,0.35412,0.91067,0.98169,0.96433,0.9923,0.9923,0.97139,0.28612,0.19134,0.74591,0.0003796,0.0003796,0.0003796
96,2799.37,0.38634,0.34835,0.91559,0.96606,0.95598,0.98889,0.98889,0.96945,0.29314,0.22717,0.74636,0.000373,0.000373,0.000373
97,2827.31,0.39368,0.35933,0.91642,0.97805,0.95269,0.98828,0.98569,0.96937,0.27493,0.21597,0.7433,0.0003664,0.0003664,0.0003664
98,2855.42,0.39558,0.37773,0.92163,0.97895,0.97279,0.99022,0.99022,0.9689,0.28951,0.20003,0.74955,0.0003598,0.0003598,0.0003598
99,2885.22,0.38883,0.37065,0.91299,0.9708,0.96346,0.99009,0.99009,0.97348,0.28613,0.20902,0.74767,0.0003532,0.0003532,0.0003532
100,2916.02,0.40025,0.37784,0.92651,0.97862,0.98078,0.99264,0.98987,0.97601,0.26308,0.20155,0.74152,0.0003466,0.0003466,0.0003466
101,2944.79,0.38982,0.37688,0.92007,0.97947,0.96713,0.99212,0.9894,0.97237,0.26976,0.19649,0.74153,0.00034,0.00034,0.00034
102,2976.41,0.40249,0.37284,0.9234,0.97297,0.95856,0.99089,0.98834,0.96784,0.26729,0.21508,0.74402,0.0003334,0.0003334,0.0003334
103,3006.35,0.38595,0.36944,0.91996,0.98447,0.96887,0.99169,0.99169,0.97323,0.26691,0.1964,0.73992,0.0003268,0.0003268,0.0003268
104,3036.36,0.38391,0.3541,0.91641,0.98615,0.96525,0.99111,0.99111,0.97125,0.28794,0.19964,0.74285,0.0003202,0.0003202,0.0003202
105,3066.29,0.36937,0.33213,0.90626,0.98722,0.95808,0.99048,0.99048,0.97352,0.27442,0.1955,0.74004,0.0003136,0.0003136,0.0003136
106,3096.16,0.37129,0.33781,0.91059,0.98051,0.96775,0.99157,0.99157,0.97563,0.26347,0.19181,0.73791,0.000307,0.000307,0.000307
107,3127.46,0.3689,0.33326,0.90803,0.97181,0.96914,0.99073,0.99073,0.97369,0.2719,0.20285,0.74044,0.0003004,0.0003004,0.0003004
108,3158.69,0.37103,0.34008,0.9125,0.97722,0.97288,0.99129,0.99129,0.97519,0.25473,0.18612,0.73651,0.0002938,0.0002938,0.0002938
109,3188.58,0.35822,0.32529,0.90393,0.97268,0.97474,0.99123,0.99123,0.97338,0.2759,0.19435,0.73879,0.0002872,0.0002872,0.0002872
110,3218.17,0.3625,0.32392,0.9047,0.96511,0.97463,0.98979,0.98979,0.97325,0.2686,0.20155,0.74211,0.0002806,0.0002806,0.0002806
111,3247.92,0.36161,0.32106,0.91099,0.97511,0.97231,0.99061,0.99061,0.97084,0.28402,0.19339,0.74475,0.000274,0.000274,0.000274
112,3277.46,0.36719,0.33937,0.90799,0.96421,0.95725,0.98941,0.98941,0.97063,0.24925,0.20878,0.73337,0.0002674,0.0002674,0.0002674
113,3307.46,0.3579,0.32705,0.90497,0.98251,0.96681,0.99102,0.99102,0.97208,0.25445,0.17931,0.73935,0.0002608,0.0002608,0.0002608
